Property_type,Price,Bedrooms,Bathrooms,Area,Location,Link
house,3.2 crore,4,5,6 marla,"I-14, Islamabad",https://www.graana.com//property/6-marla-house-sale-i-14-islamabad-1123534/
house,2.9 crore,4,4,5 marla,"I-14, Islamabad",https://www.graana.com//property/5-marla-house-sale-i-14-islamabad-1123485/
house,3.1 crore,4,5,6 marla,"I-14, Islamabad",https://www.graana.com//property/6-marla-house-sale-i-14-islamabad-1123459/
flat,85 lac,2,2,700 sqft,"E-11/2, Islamabad",https://www.graana.com//property/700-sqft-flat-sale-e-11-2-islamabad-1123258/
flat,1.5 crore,3,3,1250 sqft,"E-11, Islamabad",https://www.graana.com//property/1250-sqft-flat-sale-e-11-islamabad-1123257/
flat,55 lac,1,1,500 sqft,"E-11/4, Islamabad",https://www.graana.com//property/500-sqft-flat-sale-e-11-4-islamabad-1123238/
flat,1.45 crore,3,3,1300 sqft,"E-11, Islamabad",https://www.graana.com//property/1300-sqft-flat-sale-e-11-islamabad-1123221/
house,6.95 crore,6,6,7 marla,"G-11/4, Islamabad",https://www.graana.com//property/7-marla-house-sale-g-11-4-islamabad-1123201/
flat,1.3 crore,2,2,1100 sqft,"E-11, Islamabad",https://www.graana.com//property/1100-sqft-flat-sale-e-11-islamabad-1123194/
house,3.25 crore,5,5,6 marla,"I-14, Islamabad",https://www.graana.com//property/6-marla-house-sale-i-14-islamabad-1122524/
house,9 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1122247/
house,11 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1122172/
house,10 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1122148/
house,3 crore,7,6,10 marla,"Bani Gala, Islamabad",https://www.graana.com//property/10-marla-house-sale-bani-gala-islamabad-1122140/
house,85 lac,3,3,5 marla,"Bani Gala, Islamabad",https://www.graana.com//property/5-marla-house-sale-bani-gala-islamabad-1122132/
house,11 crore,6,6,12 marla,"I-8/2, Islamabad",https://www.graana.com//property/12-marla-house-sale-i-8-2-islamabad-1122118/
house,45 crore,7,7,2 kanal,"F-6/2, Islamabad",https://www.graana.com//property/2-kanal-house-sale-f-6-2-islamabad-1122084/
house,3 crore,8,7,11 marla,"Bani Gala, Islamabad",https://www.graana.com//property/11-marla-house-sale-bani-gala-islamabad-1122074/
house,10 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1122071/
house,9.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1122052/
house,10.5 crore,6,6,12 marla,"I-8/2, Islamabad",https://www.graana.com//property/12-marla-house-sale-i-8-2-islamabad-1122039/
house,11 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1122034/
house,15 crore,7,7,14 marla,"I-8/4 , Islamabad",https://www.graana.com//property/14-marla-house-sale-i-8-4--islamabad-1122010/
house,11.5 crore,6,6,14 marla,"I-8/4 , Islamabad",https://www.graana.com//property/14-marla-house-sale-i-8-4--islamabad-1121995/
house,3.8 crore,4,4,8 marla,"Multi Gardens, B-17, Block-E, Islamabad","https://www.graana.com//property/8-marla-house-sale-multi-gardens,-b-17,-block-e-islamabad-1121993/"
house,10.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1121991/
house,12 crore,6,6,14 marla,"I-8/4 , Islamabad",https://www.graana.com//property/14-marla-house-sale-i-8-4--islamabad-1121977/
house,2.5 crore,4,4,7 marla,"Multi Gardens, B-17, Block-E, Islamabad","https://www.graana.com//property/7-marla-house-sale-multi-gardens,-b-17,-block-e-islamabad-1121976/"
house,5.5 crore,5,5,10 marla,"DHA Phase 2, Islamabad",https://www.graana.com//property/10-marla-house-sale-dha-phase-2-islamabad-1121974/
house,80 lac,3,2,5 marla,"Bani Gala, Islamabad",https://www.graana.com//property/5-marla-house-sale-bani-gala-islamabad-1121972/
house,23 crore,6,6,1 kanal,"I-8/4 , Islamabad",https://www.graana.com//property/1-kanal-house-sale-i-8-4--islamabad-1121964/
house,25 crore,8,8,1 kanal,"I-8/4 , Islamabad",https://www.graana.com//property/1-kanal-house-sale-i-8-4--islamabad-1121935/
house,2.25 crore,7,6,10 marla,"Bani Gala, Islamabad",https://www.graana.com//property/10-marla-house-sale-bani-gala-islamabad-1121923/
house,1.1 crore,2,3,5 marla,"Bani Gala, Islamabad",https://www.graana.com//property/5-marla-house-sale-bani-gala-islamabad-1121703/
house,50 lac,1,1,550 sqft,"Bhara Kahu, Islamabad",https://www.graana.com//property/550-sqft-house-sale-bhara-kahu-islamabad-1121689/
house,7.53 crore,7,8,1 kanal,"G-16/3, Islamabad",https://www.graana.com//property/1-kanal-house-sale-g-16-3-islamabad-1121665/
house,4.85 crore,4,5,1800 sqft,"G-13/2, Islamabad",https://www.graana.com//property/1800-sqft-house-sale-g-13-2-islamabad-1121458/
house,3.5 crore,5,6,7 marla,"Gulberg, Islamabad",https://www.graana.com//property/7-marla-house-sale-gulberg-islamabad-1121447/
house,10 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1120307/
house,11 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1120280/
house,10.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1120268/
house,85 lac,4,3,5 marla,"Bani Gala, Islamabad",https://www.graana.com//property/5-marla-house-sale-bani-gala-islamabad-1120265/
house,11.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1120257/
house,11.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1120241/
house,9.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1120224/
house,5.5 crore,5,5,10 marla,"DHA Phase 2, Islamabad",https://www.graana.com//property/10-marla-house-sale-dha-phase-2-islamabad-1120212/
house,1.9 crore,5,4,5.15 marla,"Bani Gala, Islamabad",https://www.graana.com//property/5.15-marla-house-sale-bani-gala-islamabad-1120196
house,6 crore,5,5,10 marla,"DHA Phase 2, Islamabad",https://www.graana.com//property/10-marla-house-sale-dha-phase-2-islamabad-1120187/
house,3 crore,5,6,1 kanal,"Bani Gala, Islamabad",https://www.graana.com//property/1-kanal-house-sale-bani-gala-islamabad-1120185/
house,5.5 crore,5,5,10 marla,"DHA Phase 2, Islamabad",https://www.graana.com//property/10-marla-house-sale-dha-phase-2-islamabad-1120179/
house,5.7 crore,5,5,10 marla,"DHA Phase 2, Islamabad",https://www.graana.com//property/10-marla-house-sale-dha-phase-2-islamabad-1120174/
